"","X.1","X","numquake","avgmag","summag","locx","locy","numdrill","sumbbls","sumpsi","numbigquake","rfp","catbig"
"1",1,1,0,0,0,-99.9125,36.9277777777778,0,0,0,0,0.585589559152258,0
"2",2,2,0,0,0,-99.7375,36.9277777777778,1,15000,2030,0,0.167042388167388,0
"3",3,3,0,0,0,-99.5625,36.9277777777778,0,0,0,0,0.585589559152258,0
"4",4,4,0,0,0,-99.3875,36.9277777777778,1,60000,2000,0,-2.37920794177171e-16,0
"5",5,5,0,0,0,-99.2125,36.9277777777778,0,0,0,0,0.585589559152258,0
"6",6,6,0,0,0,-99.0375,36.9277777777778,1,60000,3000,0,0.0771,0
"7",7,7,0,0,0,-98.8625,36.9277777777778,6,385000,13500,0,0.0693333333333333,0
"8",8,8,0,0,0,-98.6875,36.9277777777778,10,500990,13722,0,0.028,0
"9",9,9,0,0,0,-98.5125,36.9277777777778,5,190990,5222,0,0.0166666666666664,0
"10",10,10,0,0,0,-98.3375,36.9277777777778,9,520100,16500,0,0.0898,0
"11",11,11,0,0,0,-98.1625,36.9277777777778,9,6e+05,18000,0,0.0898,0
"12",12,12,0,0,0,-97.9875,36.9277777777778,0,0,0,0,0.585589559152258,0
"13",13,13,0,0,0,-97.8125,36.9277777777778,3,77500,6250,0,0.0181999999999999,0
"14",14,14,0,0,0,-97.6375,36.9277777777778,5,217500,12512,0,0.156266666666667,0
"15",15,15,0,0,0,-97.4625,36.9277777777778,1,25000,800,0,0.675745238095238,0
"16",16,16,0,0,0,-97.2875,36.9277777777778,3,130000,2800,0,0.0633666666666666,0
"17",17,17,0,0,0,-97.1125,36.9277777777778,1,8000,500,0,0.331683294483294,0
"18",18,18,0,0,0,-96.9375,36.9277777777778,3,52000,2870,0,0.130866666666667,0
"19",19,19,0,0,0,-96.7625,36.9277777777778,2,2000,1000,0,0.00671991341991324,0
"20",20,20,0,0,0,-96.5875,36.9277777777778,0,0,0,0,0.585589559152258,0
"21",21,21,0,0,0,-96.4125000000001,36.9277777777778,0,0,0,0,0.585589559152258,0
"22",22,22,0,0,0,-96.2375000000001,36.9277777777778,0,0,0,0,0.585589559152258,0
"23",23,23,0,0,0,-96.0625000000001,36.9277777777778,0,0,0,0,0.585589559152258,0
"24",24,24,0,0,0,-95.8875000000001,36.9277777777778,4,12500,2622,0,0.0454666666666667,0
"25",25,25,0,0,0,-95.7125000000001,36.9277777777778,2,700,1368,0,0.528704761904762,0
"26",26,26,0,0,0,-95.5375000000001,36.9277777777778,0,0,0,0,0.585589559152258,0
"27",27,27,0,0,0,-95.3625000000001,36.9277777777778,0,0,0,0,0.585589559152258,0
"28",28,28,0,0,0,-95.1875000000001,36.9277777777778,0,0,0,0,0.585589559152258,0
"29",29,29,0,0,0,-95.0125000000001,36.9277777777778,0,0,0,0,0.585589559152258,0
"30",30,30,0,0,0,-94.8375000000001,36.9277777777778,0,0,0,0,0.585589559152258,0
"31",31,31,0,0,0,-99.9125,36.7833333333333,0,0,0,0,0.585589559152258,0
"32",32,32,0,0,0,-99.7375,36.7833333333333,0,0,0,0,0.585589559152258,0
"33",33,33,0,0,0,-99.5625,36.7833333333333,0,0,0,0,0.585589559152258,0
"34",34,34,0,0,0,-99.3875,36.7833333333333,0,0,0,0,0.585589559152258,0
"35",35,35,0,0,0,-99.2125,36.7833333333333,0,0,0,0,0.585589559152258,0
"36",36,36,0,0,0,-99.0375,36.7833333333333,0,0,0,0,0.585589559152258,0
"37",37,37,0,0,0,-98.8625,36.7833333333333,3,165000,6500,0,0.0495999999999999,0
"38",38,38,0,0,0,-98.6875,36.7833333333333,6,4e+05,10000,0,0.0683333333333333,0
"39",39,39,0,0,0,-98.5125,36.7833333333333,4,235000,7500,0,0.1116,0
"40",40,40,0,0,0,-98.3375,36.7833333333333,5,245100,9500,0,0.0929333333333333,0
"41",41,41,0,0,0,-98.1625,36.7833333333333,3,180000,6000,0,0.00299999999999979,0
"42",42,42,0,0,0,-97.9875,36.7833333333333,4,205000,9089,0,0.0902666666666666,0
