"","X.1","X","numquake","avgmag","summag","locx","locy","numdrill","sumbbls","sumpsi","numbigquake","rfp","catbig"
"1",1,1,0,0,0,-99.9125,36.9277777777778,0,0,0,0,2.83067022637577,"0"
"2",2,2,0,0,0,-99.7375,36.9277777777778,0,0,0,0,2.83067022637577,"0"
"3",3,3,0,0,0,-99.5625,36.9277777777778,1,60000,2000,0,9.14950238095238,"0"
"4",4,4,0,0,0,-99.3875,36.9277777777778,1,60000,2000,0,9.14950238095238,"0"
"5",5,5,2,2.65,5.3,-99.2125,36.9277777777778,0,0,0,0,2.83067022637577,"0"
"6",6,6,0,0,0,-99.0375,36.9277777777778,0,0,0,0,2.83067022637577,"0"
"7",7,7,3,2.77,8.3,-98.8625,36.9277777777778,1,60000,2000,0,9.14950238095238,"0"
"8",8,8,1,2.7,2.7,-98.6875,36.9277777777778,0,0,0,0,2.83067022637577,"0"
"9",9,9,0,0,0,-98.5125,36.9277777777778,0,0,0,0,2.83067022637577,"0"
"10",10,10,29,3.03,87.9,-98.3375,36.9277777777778,0,0,0,0,2.83067022637577,"0"
"11",11,11,58,2.63,152.34,-98.1625,36.9277777777778,0,0,0,0,2.83067022637577,"0"
"12",12,12,78,2.34,182.36,-97.9875,36.9277777777778,0,0,0,0,2.83067022637577,"0"
"13",13,13,198,2.81,557.02,-97.8125,36.9277777777778,1,10000,2000,0,39.7995412698413,"0"
"14",14,14,175,2.62,458.52,-97.6375,36.9277777777778,0,0,0,0,2.83067022637577,"0"
"15",15,15,26,2.33,60.5,-97.4625,36.9277777777778,0,0,0,0,2.83067022637577,"0"
"16",16,16,1,2.5,2.5,-97.2875,36.9277777777778,1,600,1122,0,1.30406751026751,"0"
"17",17,17,0,0,0,-97.1125,36.9277777777778,1,600,1122,0,1.30406751026751,"0"
"18",18,18,0,0,0,-96.9375,36.9277777777778,0,0,0,0,2.83067022637577,"0"
"19",19,19,0,0,0,-96.7625,36.9277777777778,0,0,0,0,2.83067022637577,"0"
"20",20,20,0,0,0,-96.5875,36.9277777777778,0,0,0,0,2.83067022637577,"0"
"21",21,21,0,0,0,-96.4125000000001,36.9277777777778,0,0,0,0,2.83067022637577,"0"
"22",22,22,0,0,0,-96.2375000000001,36.9277777777778,0,0,0,0,2.83067022637577,"0"
"23",23,23,0,0,0,-96.0625000000001,36.9277777777778,1,600,1122,0,1.30406751026751,"0"
"24",24,24,0,0,0,-95.8875000000001,36.9277777777778,0,0,0,0,2.83067022637577,"0"
"25",25,25,0,0,0,-95.7125000000001,36.9277777777778,0,0,0,0,2.83067022637577,"0"
"26",26,26,0,0,0,-95.5375000000001,36.9277777777778,0,0,0,0,2.83067022637577,"0"
"27",27,27,0,0,0,-95.3625000000001,36.9277777777778,0,0,0,0,2.83067022637577,"0"
"28",28,28,0,0,0,-95.1875000000001,36.9277777777778,0,0,0,0,2.83067022637577,"0"
"29",29,29,0,0,0,-95.0125000000001,36.9277777777778,0,0,0,0,2.83067022637577,"0"
"30",30,30,0,0,0,-94.8375000000001,36.9277777777778,0,0,0,0,2.83067022637577,"0"
"31",31,31,0,0,0,-99.9125,36.7833333333333,1,5000,1400,0,0.728866666666667,"0"
"32",32,32,0,0,0,-99.7375,36.7833333333333,0,0,0,0,2.83067022637577,"0"
"33",33,33,0,0,0,-99.5625,36.7833333333333,0,0,0,0,2.83067022637577,"0"
"34",34,34,0,0,0,-99.3875,36.7833333333333,0,0,0,0,2.83067022637577,"0"
"35",35,35,0,0,0,-99.2125,36.7833333333333,0,0,0,0,2.83067022637577,"0"
"36",36,36,0,0,0,-99.0375,36.7833333333333,0,0,0,0,2.83067022637577,"0"
"37",37,37,7,2.8,19.6,-98.8625,36.7833333333333,0,0,0,0,2.83067022637577,"0"
"38",38,38,17,2.83,48.1,-98.6875,36.7833333333333,2,150000,3500,0,46.6237666666667,"0"
"39",39,39,26,2.82,73.3,-98.5125,36.7833333333333,1,80000,2000,0,14.8502817460317,"0"
"40",40,40,118,2.98,351.4,-98.3375,36.7833333333333,1,14000,1000,0,10.7285666666667,"0"
"41",41,41,161,2.92,469.4,-98.1625,36.7833333333333,0,0,0,0,2.83067022637577,"0"
"42",42,42,127,2.86,362.9,-97.9875,36.7833333333333,0,0,0,0,2.83067022637577,"0"
"43",43,43,117,2.83,331.6,-97.8125,36.7833333333333,0,0,0,0,2.83067022637577,"0"
"44",44,44,82,2.83,232.3,-97.6375,36.7833333333333,0,0,0,0,2.83067022637577,"0"
"45",45,45,29,2.74,79.4,-97.4625,36.7833333333333,0,0,0,0,2.83067022637577,"0"
"46",46,46,0,0,0,-97.2875,36.7833333333333,0,0,0,0,2.83067022637577,"0"
"47",47,47,0,0,0,-97.1125,36.7833333333333,0,0,0,0,2.83067022637577,"0"
"48",48,48,0,0,0,-96.9375,36.7833333333333,0,0,0,0,2.83067022637577,"0"
"49",49,49,0,0,0,-96.7625,36.7833333333333,0,0,0,0,2.83067022637577,"0"
"50",50,50,0,0,0,-96.5875,36.7833333333333,0,0,0,0,2.83067022637577,"0"
"51",51,51,0,0,0,-96.4125000000001,36.7833333333333,0,0,0,0,2.83067022637577,"0"
"52",52,52,0,0,0,-96.2375000000001,36.7833333333333,0,0,0,0,2.83067022637577,"0"
"53",53,53,0,0,0,-96.0625000000001,36.7833333333333,0,0,0,0,2.83067022637577,"0"
"54",54,54,0,0,0,-95.8875000000001,36.7833333333333,7,7000,3415,0,5.40146666666667,"0"
"55",55,55,0,0,0,-95.7125000000001,36.7833333333333,1,350,1122,0,0.627400843600844,"0"
"56",56,56,0,0,0,-95.5375000000001,36.7833333333333,0,0,0,0,2.83067022637577,"0"
"57",57,57,0,0,0,-95.3625000000001,36.7833333333333,0,0,0,0,2.83067022637577,"0"
"58",58,58,0,0,0,-95.1875000000001,36.7833333333333,0,0,0,0,2.83067022637577,"0"
"59",59,59,0,0,0,-95.0125000000001,36.7833333333333,0,0,0,0,2.83067022637577,"0"
"60",60,60,0,0,0,-94.8375000000001,36.7833333333333,0,0,0,0,2.83067022637577,"0"
"61",61,61,0,0,0,-99.9125,36.6388888888889,1,5000,1400,0,0.728866666666667,"0"
"62",62,62,0,0,0,-99.7375,36.6388888888889,0,0,0,0,2.83067022637577,"0"
"63",63,63,0,0,0,-99.5625,36.6388888888889,0,0,0,0,2.83067022637577,"0"
"64",64,64,0,0,0,-99.3875,36.6388888888889,0,0,0,0,2.83067022637577,"0"
"65",65,65,0,0,0,-99.2125,36.6388888888889,0,0,0,0,2.83067022637577,"0"
"66",66,66,3,2.67,8,-99.0375,36.6388888888889,0,0,0,0,2.83067022637577,"0"
"67",67,67,2,3.05,6.1,-98.8625,36.6388888888889,0,0,0,0,2.83067022637577,"0"
"68",68,68,23,2.9,66.7,-98.6875,36.6388888888889,2,140000,3000,0,54.3184,"0"
"69",69,69,61,2.86,174.6,-98.5125,36.6388888888889,1,70000,1500,0,15.7259349206349,"0"
"70",70,70,81,2.86,231.7,-98.3375,36.6388888888889,0,0,0,0,2.83067022637577,"0"
"71",71,71,44,2.87,126.4,-98.1625,36.6388888888889,0,0,0,0,2.83067022637577,"0"
"72",72,72,47,2.81,132.1,-97.9875,36.6388888888889,2,48000,3000,0,33.7659142857143,"0"
"73",73,73,112,2.73,305.5,-97.8125,36.6388888888889,2,58000,3000,0,25.1144142857143,"0"
"74",74,74,166,2.87,476.7,-97.6375,36.6388888888889,0,0,0,0,2.83067022637577,"0"
"75",75,75,30,2.68,80.3,-97.4625,36.6388888888889,1,500,500,0,20.8853073204573,"0"
"76",76,76,11,2.69,29.6,-97.2875,36.6388888888889,1,5000,1500,0,2.69965238095238,"0"
"77",77,77,9,2.86,25.7,-97.1125,36.6388888888889,1,5000,1500,0,2.69965238095238,"0"
"78",78,78,0,0,0,-96.9375,36.6388888888889,0,0,0,0,2.83067022637577,"0"
"79",79,79,0,0,0,-96.7625,36.6388888888889,0,0,0,0,2.83067022637577,"0"
"80",80,80,0,0,0,-96.5875,36.6388888888889,0,0,0,0,2.83067022637577,"0"
"81",81,81,0,0,0,-96.4125000000001,36.6388888888889,0,0,0,0,2.83067022637577,"0"
"82",82,82,0,0,0,-96.2375000000001,36.6388888888889,0,0,0,0,2.83067022637577,"0"
"83",83,83,0,0,0,-96.0625000000001,36.6388888888889,0,0,0,0,2.83067022637577,"0"
"84",84,84,0,0,0,-95.8875000000001,36.6388888888889,0,0,0,0,2.83067022637577,"0"
"85",85,85,0,0,0,-95.7125000000001,36.6388888888889,0,0,0,0,2.83067022637577,"0"
"86",86,86,0,0,0,-95.5375000000001,36.6388888888889,0,0,0,0,2.83067022637577,"0"
"87",87,87,0,0,0,-95.3625000000001,36.6388888888889,0,0,0,0,2.83067022637577,"0"
"88",88,88,0,0,0,-95.1875000000001,36.6388888888889,0,0,0,0,2.83067022637577,"0"
