"","X.1","X","numquake","avgmag","summag","locx","locy","numdrill","sumbbls","sumpsi","numbigquake","rfp","catbig"
"1",1,1,0,0,0,-99.9125,36.9277777777778,0,0,0,0,0.31768944972623,0
"2",2,2,0,0,0,-99.7375,36.9277777777778,0,0,0,0,0.31768944972623,0
"3",3,3,0,0,0,-99.5625,36.9277777777778,0,0,0,0,0.31768944972623,0
"4",4,4,0,0,0,-99.3875,36.9277777777778,1,60000,2000,0,0.0154333333333331,0
"5",5,5,0,0,0,-99.2125,36.9277777777778,2,120000,4000,0,0.200433333333333,0
"6",6,6,0,0,0,-99.0375,36.9277777777778,1,50000,1500,0,0.0921111111111111,0
"7",7,7,0,0,0,-98.8625,36.9277777777778,1,50000,1500,0,0.0921111111111111,0
"8",8,8,0,0,0,-98.6875,36.9277777777778,3,165000,4650,0,0.165733333333333,0
"9",9,9,0,0,0,-98.5125,36.9277777777778,2,160000,4000,0,0.200433333333333,0
"10",10,10,0,0,0,-98.3375,36.9277777777778,12,840000,24000,0,0.692733333333333,0
"11",11,11,0,0,0,-98.1625,36.9277777777778,13,880000,26000,0,0.692733333333333,0
"12",12,12,0,0,0,-97.9875,36.9277777777778,6,399999,12000,0,0.6984,0
"13",13,13,0,0,0,-97.8125,36.9277777777778,1,1e+05,2000,0,1.29864285714286,0
"14",14,14,0,0,0,-97.6375,36.9277777777778,1,1e+05,2000,0,1.29864285714286,0
"15",15,15,0,0,0,-97.4625,36.9277777777778,0,0,0,0,0.31768944972623,0
"16",16,16,0,0,0,-97.2875,36.9277777777778,2,12000,2700,0,0.120233333333333,0
"17",17,17,0,0,0,-97.1125,36.9277777777778,2,2000,1000,0,0.0877999999999999,0
"18",18,18,0,0,0,-96.9375,36.9277777777778,4,33500,4300,0,0.00986666666666652,0
"19",19,19,0,0,0,-96.7625,36.9277777777778,3,46500,5050,0,0.0128666666666665,0
"20",20,20,0,0,0,-96.5875,36.9277777777778,0,0,0,0,0.31768944972623,0
