"","X.1","X","numquake","avgmag","summag","locx","locy","numdrill","sumbbls","sumpsi","numbigquake","rfp","catbig"
"1",1,1,0,0,0,-99.9125,36.9277777777778,0,0,0,0,0.129693278202817,0
"2",2,2,0,0,0,-99.7375,36.9277777777778,0,0,0,0,0.129693278202817,0
"3",3,3,0,0,0,-99.5625,36.9277777777778,0,0,0,0,0.129693278202817,0
"4",4,4,0,0,0,-99.3875,36.9277777777778,0,0,0,0,0.129693278202817,0
"5",5,5,0,0,0,-99.2125,36.9277777777778,0,0,0,0,0.129693278202817,0
"6",6,6,0,0,0,-99.0375,36.9277777777778,0,0,0,0,0.129693278202817,0
"7",7,7,0,0,0,-98.8625,36.9277777777778,3,180000,6000,0,0.00399999999999997,0
"8",8,8,0,0,0,-98.6875,36.9277777777778,1,80000,1500,0,6.10873795093795,0
"9",9,9,0,0,0,-98.5125,36.9277777777778,1,20000,500,0,-1.36002320516582e-16,0
"10",10,10,0,0,0,-98.3375,36.9277777777778,7,5e+05,12500,0,0.484966666666667,0
"11",11,11,1,2.9,2.9,-98.1625,36.9277777777778,2,140000,4000,1,0.6098,1
"12",12,12,6,2.88,17.3,-97.9875,36.9277777777778,1,50000,2994,5,0.144,1
"13",13,13,2,2.75,5.5,-97.8125,36.9277777777778,3,125000,7694,2,0.130833333333333,1
"14",14,14,1,3.6,3.6,-97.6375,36.9277777777778,1,50000,2882,1,0.144,1
"15",15,15,0,0,0,-97.4625,36.9277777777778,0,0,0,0,0.129693278202817,0
"16",16,16,0,0,0,-97.2875,36.9277777777778,1,5000,300,0,0.00199999999999986,0
"17",17,17,0,0,0,-97.1125,36.9277777777778,2,26440,1475,0,3.64953571428571,0
"18",18,18,0,0,0,-96.9375,36.9277777777778,1,50000,1960,0,0.255366666666667,0
"19",19,19,0,0,0,-96.7625,36.9277777777778,1,50000,1960,0,0.255366666666667,0
"20",20,20,0,0,0,-96.5875,36.9277777777778,0,0,0,0,0.129693278202817,0
"21",21,21,0,0,0,-96.4125000000001,36.9277777777778,0,0,0,0,0.129693278202817,0
"22",22,22,0,0,0,-96.2375000000001,36.9277777777778,0,0,0,0,0.129693278202817,0
"23",23,23,0,0,0,-96.0625000000001,36.9277777777778,1,1000,200,0,-1.36224365121507e-16,0
"24",24,24,0,0,0,-95.8875000000001,36.9277777777778,2,1500,700,0,-1.30895294603306e-16,0
"25",25,25,0,0,0,-95.7125000000001,36.9277777777778,2,700,1422,0,0.909833333333333,0
"26",26,26,0,0,0,-95.5375000000001,36.9277777777778,1,200,1122,0,0.837416666666666,0
"27",27,27,0,0,0,-95.3625000000001,36.9277777777778,0,0,0,0,0.129693278202817,0
"28",28,28,0,0,0,-95.1875000000001,36.9277777777778,0,0,0,0,0.129693278202817,0
"29",29,29,0,0,0,-95.0125000000001,36.9277777777778,0,0,0,0,0.129693278202817,0
"30",30,30,0,0,0,-94.8375000000001,36.9277777777778,0,0,0,0,0.129693278202817,0
"31",31,31,0,0,0,-99.9125,36.7833333333333,0,0,0,0,0.129693278202817,0
"32",32,32,0,0,0,-99.7375,36.7833333333333,0,0,0,0,0.129693278202817,0
"33",33,33,0,0,0,-99.5625,36.7833333333333,0,0,0,0,0.129693278202817,0
"34",34,34,0,0,0,-99.3875,36.7833333333333,0,0,0,0,0.129693278202817,0
"35",35,35,0,0,0,-99.2125,36.7833333333333,0,0,0,0,0.129693278202817,0
"36",36,36,0,0,0,-99.0375,36.7833333333333,1,80000,1500,0,6.10873795093795,0
"37",37,37,0,0,0,-98.8625,36.7833333333333,2,120000,4000,0,0.327166666666667,0
"38",38,38,1,2.9,2.9,-98.6875,36.7833333333333,2,120000,3500,1,0.180566666666667,1
"39",39,39,1,2.9,2.9,-98.5125,36.7833333333333,2,80000,4000,1,0.161733333333333,1
"40",40,40,2,2.7,5.4,-98.3375,36.7833333333333,6,460000,11500,2,0.136733333333333,1
"41",41,41,1,2.8,2.8,-98.1625,36.7833333333333,3,145000,6800,1,0.301266666666667,1
"42",42,42,7,2.93,20.5,-97.9875,36.7833333333333,1,60000,2000,7,0.116663636363636,1
"43",43,43,2,2.65,5.3,-97.8125,36.7833333333333,4,185000,9672,1,0.00513333333333331,1
"44",44,44,3,2.63,7.9,-97.6375,36.7833333333333,1,50000,2882,2,0.144,1
"45",45,45,0,0,0,-97.4625,36.7833333333333,1,60000,2000,0,0.116663636363636,0
