"","X.1","X","numquake","avgmag","summag","locx","locy","numdrill","sumbbls","sumpsi","numbigquake","rfp","catbig"
"1",1,1,0,0,0,-99.9125,36.9277777777778,0,0,0,0,0.101337798043723,0
"2",2,2,0,0,0,-99.7375,36.9277777777778,0,0,0,0,0.101337798043723,0
"3",3,3,0,0,0,-99.5625,36.9277777777778,0,0,0,0,0.101337798043723,0
"4",4,4,0,0,0,-99.3875,36.9277777777778,0,0,0,0,0.101337798043723,0
"5",5,5,0,0,0,-99.2125,36.9277777777778,0,0,0,0,0.101337798043723,0
"6",6,6,0,0,0,-99.0375,36.9277777777778,1,20000,1500,0,0.0194439393939394,0
"7",7,7,0,0,0,-98.8625,36.9277777777778,1,20000,1500,0,0.0194439393939394,0
"8",8,8,0,0,0,-98.6875,36.9277777777778,2,1990,1422,0,-3.54716256367738e-17,0
"9",9,9,0,0,0,-98.5125,36.9277777777778,1,990,300,0,0.00389126984126983,0
"10",10,10,0,0,0,-98.3375,36.9277777777778,1,60000,2000,0,0.0336666666666667,0
"11",11,11,1,2.7,2.7,-98.1625,36.9277777777778,4,320000,8000,1,1.27614761904762,1
"12",12,12,0,0,0,-97.9875,36.9277777777778,1,1e+05,2000,0,0.9146,0
"13",13,13,0,0,0,-97.8125,36.9277777777778,1,60000,1000,0,0.0244222222222222,0
"14",14,14,0,0,0,-97.6375,36.9277777777778,0,0,0,0,0.101337798043723,0
"15",15,15,0,0,0,-97.4625,36.9277777777778,0,0,0,0,0.101337798043723,0
"16",16,16,0,0,0,-97.2875,36.9277777777778,2,100900,2822,0,0.9174,0
"17",17,17,0,0,0,-97.1125,36.9277777777778,1,1e+05,1700,0,0.9074,0
"18",18,18,0,0,0,-96.9375,36.9277777777778,1,10000,1000,0,0.0415222222222222,0
"19",19,19,0,0,0,-96.7625,36.9277777777778,0,0,0,0,0.101337798043723,0
"20",20,20,0,0,0,-96.5875,36.9277777777778,0,0,0,0,0.101337798043723,0
"21",21,21,0,0,0,-96.4125000000001,36.9277777777778,0,0,0,0,0.101337798043723,0
"22",22,22,0,0,0,-96.2375000000001,36.9277777777778,0,0,0,0,0.101337798043723,0
"23",23,23,0,0,0,-96.0625000000001,36.9277777777778,0,0,0,0,0.101337798043723,0
"24",24,24,0,0,0,-95.8875000000001,36.9277777777778,3,1250,1000,0,0.3507,0
"25",25,25,0,0,0,-95.7125000000001,36.9277777777778,0,0,0,0,0.101337798043723,0
"26",26,26,0,0,0,-95.5375000000001,36.9277777777778,0,0,0,0,0.101337798043723,0
"27",27,27,0,0,0,-95.3625000000001,36.9277777777778,0,0,0,0,0.101337798043723,0
"28",28,28,0,0,0,-95.1875000000001,36.9277777777778,0,0,0,0,0.101337798043723,0
"29",29,29,0,0,0,-95.0125000000001,36.9277777777778,0,0,0,0,0.101337798043723,0
"30",30,30,0,0,0,-94.8375000000001,36.9277777777778,0,0,0,0,0.101337798043723,0
"31",31,31,0,0,0,-99.9125,36.7833333333333,0,0,0,0,0.101337798043723,0
"32",32,32,0,0,0,-99.7375,36.7833333333333,0,0,0,0,0.101337798043723,0
"33",33,33,0,0,0,-99.5625,36.7833333333333,0,0,0,0,0.101337798043723,0
"34",34,34,0,0,0,-99.3875,36.7833333333333,0,0,0,0,0.101337798043723,0
"35",35,35,0,0,0,-99.2125,36.7833333333333,0,0,0,0,0.101337798043723,0
"36",36,36,0,0,0,-99.0375,36.7833333333333,0,0,0,0,0.101337798043723,0
"37",37,37,0,0,0,-98.8625,36.7833333333333,0,0,0,0,0.101337798043723,0
"38",38,38,0,0,0,-98.6875,36.7833333333333,0,0,0,0,0.101337798043723,0
"39",39,39,0,0,0,-98.5125,36.7833333333333,0,0,0,0,0.101337798043723,0
"40",40,40,0,0,0,-98.3375,36.7833333333333,1,2500,1500,0,0.00389999999999999,0
"41",41,41,1,2.7,2.7,-98.1625,36.7833333333333,1,2500,1500,1,0.00389999999999999,1
"42",42,42,0,0,0,-97.9875,36.7833333333333,1,10000,300,0,0.13249126984127,0
"43",43,43,0,0,0,-97.8125,36.7833333333333,0,0,0,0,0.101337798043723,0
"44",44,44,0,0,0,-97.6375,36.7833333333333,0,0,0,0,0.101337798043723,0
"45",45,45,0,0,0,-97.4625,36.7833333333333,0,0,0,0,0.101337798043723,0
