"","X.1","X","numquake","avgmag","summag","locx","locy","numdrill","sumbbls","sumpsi","numbigquake","rfp","catbig"
"1",1,1,0,0,0,-99.9125,36.9277777777778,0,0,0,0,0.00458240838879612,0
"2",2,2,0,0,0,-99.7375,36.9277777777778,1,600,1000,0,-6.0732668893948e-18,0
"3",3,3,0,0,0,-99.5625,36.9277777777778,1,600,1000,0,-6.0732668893948e-18,0
"4",4,4,0,0,0,-99.3875,36.9277777777778,1,400,1000,0,-6.0732668893948e-18,0
"5",5,5,0,0,0,-99.2125,36.9277777777778,0,0,0,0,0.00458240838879612,0
"6",6,6,0,0,0,-99.0375,36.9277777777778,0,0,0,0,0.00458240838879612,0
"7",7,7,0,0,0,-98.8625,36.9277777777778,0,0,0,0,0.00458240838879612,0
"8",8,8,0,0,0,-98.6875,36.9277777777778,0,0,0,0,0.00458240838879612,0
"9",9,9,0,0,0,-98.5125,36.9277777777778,0,0,0,0,0.00458240838879612,0
"10",10,10,0,0,0,-98.3375,36.9277777777778,0,0,0,0,0.00458240838879612,0
"11",11,11,0,0,0,-98.1625,36.9277777777778,0,0,0,0,0.00458240838879612,0
"12",12,12,0,0,0,-97.9875,36.9277777777778,1,1500,600,0,-6.0732668893948e-18,0
"13",13,13,0,0,0,-97.8125,36.9277777777778,0,0,0,0,0.00458240838879612,0
"14",14,14,0,0,0,-97.6375,36.9277777777778,0,0,0,0,0.00458240838879612,0
"15",15,15,0,0,0,-97.4625,36.9277777777778,0,0,0,0,0.00458240838879612,0
"16",16,16,0,0,0,-97.2875,36.9277777777778,1,350,1122,0,-6.0732668893948e-18,0
"17",17,17,0,0,0,-97.1125,36.9277777777778,1,350,1122,0,-6.0732668893948e-18,0
"18",18,18,0,0,0,-96.9375,36.9277777777778,0,0,0,0,0.00458240838879612,0
"19",19,19,0,0,0,-96.7625,36.9277777777778,0,0,0,0,0.00458240838879612,0
"20",20,20,0,0,0,-96.5875,36.9277777777778,0,0,0,0,0.00458240838879612,0
"21",21,21,0,0,0,-96.4125000000001,36.9277777777778,0,0,0,0,0.00458240838879612,0
"22",22,22,0,0,0,-96.2375000000001,36.9277777777778,0,0,0,0,0.00458240838879612,0
"23",23,23,0,0,0,-96.0625000000001,36.9277777777778,2,2250,900,0,-6.0732668893948e-18,0
"24",24,24,0,0,0,-95.8875000000001,36.9277777777778,4,5250,1200,0,-6.0732668893948e-18,0
"25",25,25,0,0,0,-95.7125000000001,36.9277777777778,2,3500,600,0,-6.0732668893948e-18,0
"26",26,26,0,0,0,-95.5375000000001,36.9277777777778,1,5000,300,0,-6.0732668893948e-18,0
"27",27,27,0,0,0,-95.3625000000001,36.9277777777778,0,0,0,0,0.00458240838879612,0
"28",28,28,0,0,0,-95.1875000000001,36.9277777777778,0,0,0,0,0.00458240838879612,0
"29",29,29,0,0,0,-95.0125000000001,36.9277777777778,0,0,0,0,0.00458240838879612,0
"30",30,30,0,0,0,-94.8375000000001,36.9277777777778,0,0,0,0,0.00458240838879612,0
"31",31,31,0,0,0,-99.9125,36.7833333333333,0,0,0,0,0.00458240838879612,0
"32",32,32,0,0,0,-99.7375,36.7833333333333,0,0,0,0,0.00458240838879612,0
"33",33,33,0,0,0,-99.5625,36.7833333333333,0,0,0,0,0.00458240838879612,0
