"","X.1","X","numquake","avgmag","summag","locx","locy","numdrill","sumbbls","sumpsi","numbigquake","rfp","catbig"
"1",1,1,0,0,0,-99.9125,36.9277777777778,0,0,0,0,0.606508416004866,0
"2",2,2,0,0,0,-99.7375,36.9277777777778,0,0,0,0,0.606508416004866,0
"3",3,3,0,0,0,-99.5625,36.9277777777778,0,0,0,0,0.606508416004866,0
"4",4,4,0,0,0,-99.3875,36.9277777777778,0,0,0,0,0.606508416004866,0
"5",5,5,0,0,0,-99.2125,36.9277777777778,0,0,0,0,0.606508416004866,0
"6",6,6,0,0,0,-99.0375,36.9277777777778,0,0,0,0,0.606508416004866,0
"7",7,7,0,0,0,-98.8625,36.9277777777778,1,60000,2000,0,3.4749800258565,0
"8",8,8,0,0,0,-98.6875,36.9277777777778,2,50990,1800,0,1.11241572871573,0
"9",9,9,0,0,0,-98.5125,36.9277777777778,1,80000,2000,0,1.83444484959485,0
"10",10,10,17,2.85,48.4,-98.3375,36.9277777777778,5,360000,9500,16,3.2733,1
"11",11,11,33,2.67,88.04,-98.1625,36.9277777777778,0,0,0,28,0.606508416004866,1
"12",12,12,54,2.18,117.91,-97.9875,36.9277777777778,1,950,500,22,0.0123333333333333,1
"13",13,13,119,2.63,312.89,-97.8125,36.9277777777778,1,10000,2000,91,0.845476479076479,1
"14",14,14,32,2.69,86.17,-97.6375,36.9277777777778,0,0,0,28,0.606508416004866,1
"15",15,15,13,2.71,35.2,-97.4625,36.9277777777778,1,700,500,13,0.00766666666666659,1
"16",16,16,11,2.74,30.1,-97.2875,36.9277777777778,0,0,0,11,0.606508416004866,1
"17",17,17,0,0,0,-97.1125,36.9277777777778,0,0,0,0,0.606508416004866,0
"18",18,18,0,0,0,-96.9375,36.9277777777778,5,5000,5000,0,0.695972283272283,0
"19",19,19,0,0,0,-96.7625,36.9277777777778,5,5000,5000,0,0.695972283272283,0
"20",20,20,0,0,0,-96.5875,36.9277777777778,0,0,0,0,0.606508416004866,0
"21",21,21,0,0,0,-96.4125000000001,36.9277777777778,0,0,0,0,0.606508416004866,0
"22",22,22,0,0,0,-96.2375000000001,36.9277777777778,0,0,0,0,0.606508416004866,0
"23",23,23,0,0,0,-96.0625000000001,36.9277777777778,0,0,0,0,0.606508416004866,0
"24",24,24,0,0,0,-95.8875000000001,36.9277777777778,4,920,2869,0,0.240966666666667,0
"25",25,25,0,0,0,-95.7125000000001,36.9277777777778,0,0,0,0,0.606508416004866,0
"26",26,26,0,0,0,-95.5375000000001,36.9277777777778,0,0,0,0,0.606508416004866,0
"27",27,27,0,0,0,-95.3625000000001,36.9277777777778,0,0,0,0,0.606508416004866,0
"28",28,28,0,0,0,-95.1875000000001,36.9277777777778,0,0,0,0,0.606508416004866,0
"29",29,29,0,0,0,-95.0125000000001,36.9277777777778,0,0,0,0,0.606508416004866,0
"30",30,30,0,0,0,-94.8375000000001,36.9277777777778,0,0,0,0,0.606508416004866,0
"31",31,31,0,0,0,-99.9125,36.7833333333333,0,0,0,0,0.606508416004866,0
"32",32,32,0,0,0,-99.7375,36.7833333333333,0,0,0,0,0.606508416004866,0
"33",33,33,0,0,0,-99.5625,36.7833333333333,0,0,0,0,0.606508416004866,0
"34",34,34,0,0,0,-99.3875,36.7833333333333,0,0,0,0,0.606508416004866,0
"35",35,35,0,0,0,-99.2125,36.7833333333333,1,25000,2500,0,0.304469841269841,0
"36",36,36,0,0,0,-99.0375,36.7833333333333,0,0,0,0,0.606508416004866,0
"37",37,37,2,2.5,5,-98.8625,36.7833333333333,1,40000,2500,2,0.719348978798979,1
"38",38,38,9,2.78,25,-98.6875,36.7833333333333,1,60000,2000,9,3.4749800258565,1
"39",39,39,7,2.84,19.9,-98.5125,36.7833333333333,1,60000,2000,7,3.4749800258565,1
"40",40,40,41,2.87,117.6,-98.3375,36.7833333333333,5,360000,9500,39,3.2733,1
"41",41,41,60,2.91,174.8,-98.1625,36.7833333333333,1,500,500,60,0.00669298245614026,1
"42",42,42,98,2.85,279.5,-97.9875,36.7833333333333,4,8950,3500,96,0.167633333333333,1
"43",43,43,153,2.85,436.1,-97.8125,36.7833333333333,0,0,0,152,0.606508416004866,1
"44",44,44,127,2.79,354.9,-97.6375,36.7833333333333,1,1200,1000,126,0.992464407814408,1
"45",45,45,56,2.77,154.9,-97.4625,36.7833333333333,1,1000,500,55,0.0123333333333333,1
"46",46,46,0,0,0,-97.2875,36.7833333333333,0,0,0,0,0.606508416004866,0
"47",47,47,0,0,0,-97.1125,36.7833333333333,2,65000,4350,0,1.94946666666667,0
"48",48,48,0,0,0,-96.9375,36.7833333333333,0,0,0,0,0.606508416004866,0
"49",49,49,0,0,0,-96.7625,36.7833333333333,0,0,0,0,0.606508416004866,0
